,date,x1,x2,high,low,close,width
168,2019-11-08,115318.052734375,115376.0419921875,27694.94921875,27578.970703125,27681.240234375,57.9892578125
169,2019-11-11,115376.0419921875,115474.40234375,27714.390625,27517.669921875,27691.490234375,98.3603515625
170,2019-11-12,115474.40234375,115542.171875,27770.859375,27635.3203125,27691.490234375,67.76953125
171,2019-11-13,115542.171875,115651.7724609375,27806.400390625,27587.19921875,27783.58984375,109.6005859375
172,2019-11-14,115651.7724609375,115713.642578125,27800.7109375,27676.970703125,27781.9609375,61.8701171875
173,2019-11-15,115713.642578125,115794.318359375,28004.890625,27843.5390625,28004.890625,80.67578125
174,2019-11-18,115794.318359375,115830.18359375,28040.970703125,27969.240234375,28036.220703125,35.865234375
175,2019-11-19,115830.18359375,115928.029296875,28090.2109375,27894.51953125,27934.01953125,97.845703125
176,2019-11-20,115928.029296875,116039.029296875,27897.279296875,27675.279296875,27821.08984375,111.0
177,2019-11-21,116039.029296875,116099.0244140625,27828.330078125,27708.33984375,27766.2890625,59.9951171875
178,2019-11-22,116099.0244140625,116161.2646484375,27898.4609375,27773.98046875,27875.619140625,62.240234375
179,2019-11-25,116161.2646484375,116236.724609375,28068.689453125,27917.76953125,28066.470703125,75.4599609375
180,2019-11-26,116236.724609375,116288.62890625,28146.01953125,28042.2109375,28121.6796875,51.904296875
181,2019-11-27,116288.62890625,116338.4990234375,28174.970703125,28075.23046875,28164.0,49.8701171875
182,2019-11-29,116338.4990234375,116376.9892578125,28119.509765625,28042.529296875,28051.41015625,38.490234375
183,2019-12-02,116376.9892578125,116540.734375,28109.83984375,27782.349609375,27783.0390625,163.7451171875
184,2019-12-03,116540.734375,116640.5390625,27524.740234375,27325.130859375,27502.810546875,99.8046875
185,2019-12-04,116640.5390625,116698.2236328125,27727.44921875,27612.080078125,27649.779296875,57.6845703125
186,2019-12-05,116698.2236328125,116789.4228515625,27745.19921875,27562.80078125,27677.7890625,91.19921875
187,2019-12-06,116789.4228515625,116887.5078125,28035.849609375,27839.6796875,28015.060546875,98.0849609375
188,2019-12-09,116887.5078125,116939.6474609375,28010.419921875,27906.140625,27909.599609375,52.1396484375
189,2019-12-10,116939.6474609375,117012.1572265625,27949.01953125,27804.0,27881.720703125,72.509765625
190,2019-12-11,117012.1572265625,117074.0068359375,27925.5,27801.80078125,27911.30078125,61.849609375
191,2019-12-12,117074.0068359375,117256.546875,28224.94921875,27859.869140625,28132.05078125,182.5400390625
192,2019-12-13,117256.546875,117387.751953125,28290.73046875,28028.3203125,28135.380859375,131.205078125
