,Date,High,Low,Close
14580,04/10/1982,908.57,892.02,903.61
14581,05/10/1982,917.77,899.47,907.19
14582,06/10/1982,946.38,907.74,944.26
14583,07/10/1982,972.87,950.24,965.97
14584,08/10/1982,992.92,961.64,986.85
14585,11/10/1982,1027.59,991.54,1012.79
14586,12/10/1982,1026.95,992.0,1003.68
14587,13/10/1982,1033.57,991.63,1015.18
14588,14/10/1982,1020.97,991.17,996.87
14589,15/10/1982,1003.86,981.88,993.1
14590,18/10/1982,1023.45,991.63,1019.22
14591,19/10/1982,1031.09,1001.66,1013.8
14592,20/10/1982,1035.23,1005.98,1034.12
14593,21/10/1982,1049.12,1018.4,1036.98
14594,22/10/1982,1051.88,1024.37,1031.46
14595,25/10/1982,1018.76,991.91,995.13
14596,26/10/1982,1011.13,975.9,1006.07
14597,27/10/1982,1019.87,996.87,1006.35
14598,28/10/1982,1011.87,989.33,990.99
14599,29/10/1982,999.45,977.92,991.72
14600,01/11/1982,1009.01,983.72,1005.7
14601,02/11/1982,1036.98,1007.45,1022.08
14602,03/11/1982,1068.16,1021.71,1065.49
14603,04/11/1982,1078.46,1042.59,1050.22
14604,05/11/1982,1061.17,1040.65,1051.78
14605,08/11/1982,1048.57,1029.25,1037.44
14606,09/11/1982,1065.86,1034.86,1060.25
14607,10/11/1982,1078.27,1037.71,1044.52
14608,11/11/1982,1057.03,1030.35,1054.73
14609,12/11/1982,1060.52,1035.6,1039.92
14610,15/11/1982,1032.56,1012.6,1021.43
14611,16/11/1982,1019.68,993.1,1008.0
14612,17/11/1982,1032.74,1012.05,1027.5
14613,18/11/1982,1040.47,1020.05,1032.1
14614,19/11/1982,1042.86,1017.11,1021.25
14615,22/11/1982,1024.01,997.42,1000.0
14616,23/11/1982,1007.63,986.66,990.99
14617,24/11/1982,1007.36,988.23,1000.0
14618,26/11/1982,1012.6,998.53,1007.36
14619,29/11/1982,1014.72,993.84,1002.85
14620,30/11/1982,1042.4,998.34,1039.28
14621,01/12/1982,1055.0,1025.57,1031.09
14622,02/12/1982,1047.37,1027.04,1033.11
14623,03/12/1982,1046.82,1027.04,1031.36
14624,06/12/1982,1061.26,1020.88,1055.65
14625,07/12/1982,1071.1,1045.07,1056.94
14626,08/12/1982,1069.72,1041.3,1047.09
14627,09/12/1982,1049.39,1020.79,1027.96
14628,10/12/1982,1038.36,1009.47,1018.76
14629,13/12/1982,1030.91,1013.34,1024.28
14630,14/12/1982,1047.28,1006.99,1009.38
14631,15/12/1982,1013.52,985.74,992.64
14632,16/12/1982,1004.42,983.35,990.25
14633,17/12/1982,1018.12,989.24,1011.5
14634,20/12/1982,1022.63,998.44,1004.51
14635,21/12/1982,1036.33,998.53,1030.26
14636,22/12/1982,1047.19,1021.62,1035.04
14637,23/12/1982,1051.51,1032.19,1045.07
14638,27/12/1982,1076.07,1043.6,1070.55
14639,28/12/1982,1077.91,1053.44,1058.87
14640,29/12/1982,1069.35,1050.68,1059.6
14641,30/12/1982,1066.13,1043.6,1047.37
14642,31/12/1982,1055.56,1041.85,1046.54
14643,03/01/1983,1057.21,1022.17,1027.04
14644,04/01/1983,1047.46,1020.24,1046.08
14645,05/01/1983,1056.75,1033.94,1044.89
14646,06/01/1983,1081.95,1042.4,1070.92
14647,07/01/1983,1091.34,1063.19,1076.07
14648,10/01/1983,1099.98,1065.12,1092.35
14649,11/01/1983,1097.5,1076.07,1083.79
14650,12/01/1983,1105.13,1075.88,1083.61
14651,13/01/1983,1091.06,1068.8,1073.95
14652,14/01/1983,1089.04,1070.36,1080.85
14653,17/01/1983,1098.6,1077.35,1084.81
14654,18/01/1983,1089.22,1068.06,1079.65
14655,19/01/1983,1082.97,1057.12,1068.06
14656,20/01/1983,1080.39,1060.15,1070.82
14657,21/01/1983,1070.46,1045.16,1052.98
14658,24/01/1983,1039.28,1013.43,1030.17
14659,25/01/1983,1048.93,1028.61,1042.03
14660,26/01/1983,1050.31,1027.78,1037.99
14661,27/01/1983,1068.16,1037.35,1063.65
14662,28/01/1983,1080.57,1056.66,1064.75
14663,31/01/1983,1079.75,1055.83,1075.7
14664,01/02/1983,1082.78,1057.58,1059.79
14665,02/02/1983,1070.09,1046.82,1062.24
14666,03/02/1983,1075.06,1057.03,1064.66
14667,04/02/1983,1081.13,1056.75,1077.91
14668,07/02/1983,1097.04,1073.77,1087.1
14669,08/02/1983,1091.7,1068.71,1075.33
14670,09/02/1983,1081.59,1058.13,1067.42
14671,10/02/1983,1094.83,1067.88,1087.75
14672,11/02/1983,1100.82,1080.17,1086.5
14673,14/02/1983,1103.33,1080.64,1097.1
14674,15/02/1983,1107.61,1086.22,1093.1
14675,16/02/1983,1103.7,1083.43,1087.43
14676,17/02/1983,1096.35,1075.52,1088.91
14677,18/02/1983,1099.42,1079.99,1092.82
14678,22/02/1983,1097.72,1074.01,1080.4
14679,23/02/1983,1100.14,1077.69,1096.94
14680,24/02/1983,1126.74,1100.62,1121.81
14681,25/02/1983,1135.26,1115.13,1120.94
14682,28/02/1983,1128.58,1105.26,1112.62
14683,01/03/1983,1139.22,1110.2,1130.71
14684,02/03/1983,1144.45,1121.9,1135.06
14685,03/03/1983,1151.12,1128.39,1138.06
